fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,-0.323766,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,-0.579115,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,-0.700316,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,-0.8478720000000001,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,-0.993013,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),-0.48074900000000004,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),-0.790457,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),-1.063871,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),-1.244709,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),-1.413184,Available,Industrial Alliance
FU070BRUT,Money Market,0.465118,Available,Industrial Alliance
FU170BRUT,Short Term Bond,0.685028,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),0.37194,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),0.399607,Available,Industrial Alliance
FU020BRUT,Bond,0.252201,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,0.282424,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),0.22802899999999998,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),0.324845,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),0.224153,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),0.360522,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),0.3968360000000001,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,0.365655,Available,Industrial Alliance
FU504BRUT,Long Term Bond,-0.29203,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),-0.325275,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),-1.08148,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.365575,Available,Industrial Alliance
FU240BRUT,Diversified Security,-0.256407,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),-0.698553,Available,Industrial Alliance
FU040BRUT,Diversified,-0.8148930000000001,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),-1.549923,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,-0.673254,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,-0.9178280000000001,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),-1.133394,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),-0.834415,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,-1.13622,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,-1.11083,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),-3.209912,Available,Industrial Alliance
FU160BRUT,Dividend,-2.103816,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),-2.879708,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),-1.168402,Available,Industrial Alliance
FU358BRUT,Fundamental Canadian Equity (Beutel Goodman),-0.511509,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,-2.664191,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),-3.220404,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,-2.494785,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,-1.9973,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,-2.396264,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),-2.708554,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),-0.974848,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),-1.526062,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),-2.72914,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),-3.1525620000000005,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),-3.6775350000000007,Available,Industrial Alliance
FU270BRUT,Fidelity True North,-1.601462,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,-2.125756,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),-1.140554,Available,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),-0.24877099999999996,Available,Industrial Alliance
FU707BRUT,Global Equity,-0.331826,Available,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),0.535724,Available,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,1.066313,Available,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),-2.224745,Available,Industrial Alliance
FU342BRUT,Global Equity (Burgundy),0.544239,Available,Industrial Alliance
FU359BRUT,Global Equity Opportunistic Value (Wellington),-2.438898,Available,Industrial Alliance
FU945BRUT,Climate Strategy (Wellington),-4.529206,Available,Industrial Alliance
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),0.21683100000000002,Available,Industrial Alliance
FU390BRUT,Global Research Equity (MFS),-0.010055,Available,Industrial Alliance
FU133BRUT,Global Equity (Mawer),0.952839,Available,Industrial Alliance
FU456BRUT,Global Equity (Walter Scott),0.258274,Available,Industrial Alliance
FU595BRUT,Global Equity (Fiera Capital)**,0.637425,Available,Industrial Alliance
FU724BRUT,Global Equity (PH&N) ,-0.452693,Available,Industrial Alliance
FU641BRUT,Global Equity Growth (T Rowe Price),-0.751084,Available,Industrial Alliance
FU331BRUT,Global Equity (Baillie Gifford),-2.25371,Available,Industrial Alliance
FU387BRUT,Sustainable Growth (Baillie Gifford),-3.6710800000000003,Available,Industrial Alliance
FU781BRUT,Global Equity Small Cap (Fisher),-5.907024,Available,Industrial Alliance
FU609BRUT,Global Equity Small Cap (Global Alpha),-5.034812,Available,Industrial Alliance
FU130BRUT,Global Equity Small Cap (Mawer)**,-2.3945,Available,Industrial Alliance
FU300BRUT,International Equity Index (BlackRock),-1.475827,Available,Industrial Alliance
FU706BRUT,International Equity,-0.952713,Available,Industrial Alliance
FU483BRUT,International Equity (Jarislowsky),-0.25016,Available,Industrial Alliance
FU131BRUT,International Equity (Mawer),-0.195999,Available,Industrial Alliance
FU467BRUT,International Equity (MFS),0.417574,Available,Industrial Alliance
FU760BRUT,US Equity Index (BlackRock),0.508212,Available,Industrial Alliance
FU895BRUT,US Equity Index Non-Registered (BlackRock),0.508109,Available,Industrial Alliance
FU518BRUT,US Dividend Growth,0.562747,Available,Industrial Alliance
FU705BRUT,US Equity,0.994057,Available,Industrial Alliance
FU512BRUT,US Equity (Jarislowsky),0.7911170000000001,Available,Industrial Alliance
FU132BRUT,US Equity (Mawer),1.888981,Available,Industrial Alliance
