fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,1.415438,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,1.809066,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,2.082086,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,2.364662,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,2.611389,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),1.7106799999999998,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),1.812083,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),2.320419,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),2.573254,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),2.809783,Available,Industrial Alliance
FU070BRUT,Money Market,0.403098,Available,Industrial Alliance
FU170BRUT,Short Term Bond,0.580315,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),0.495635,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),0.557845,Available,Industrial Alliance
FU020BRUT,Bond,0.536963,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,0.527698,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),0.606043,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),0.522754,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),0.585544,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),0.717275,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),0.659959,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,0.58966,Available,Industrial Alliance
FU504BRUT,Long Term Bond,0.322698,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),0.645998,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),1.153046,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.735255,Available,Industrial Alliance
FU240BRUT,Diversified Security,1.618589,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),2.301066,Available,Industrial Alliance
FU040BRUT,Diversified,2.397862,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),2.678176,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,1.558737,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,1.6687830000000001,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),1.7757270000000003,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),2.061487,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,2.719044,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,2.631891,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),4.128691,Available,Industrial Alliance
FU160BRUT,Dividend,2.603426,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),2.070521,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),0.476088,Available,Industrial Alliance
FU359BRUT,Fundamental Canadian Equity (Beutel Goodman),1.995411,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,2.305727,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),3.8173849999999994,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,3.566998,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,2.397595,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,3.175672,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),3.6609880000000006,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),0.33356,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),0.9489900000000001,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),2.364176,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),2.285653,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),3.299436,Available,Industrial Alliance
FU270BRUT,Fidelity True North,2.627336,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,6.07256,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),1.593448,Available,Industrial Alliance
