fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,0.905396,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,0.801523,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,0.758826,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,0.703786,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,0.632678,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),1.13073,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),0.9309160000000001,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),0.888072,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),0.8389250000000001,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),0.801629,Available,Industrial Alliance
FU070BRUT,Money Market,0.389265,Available,Industrial Alliance
FU170BRUT,Short Term Bond,0.8413789999999999,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),1.137915,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),1.151789,Available,Industrial Alliance
FU020BRUT,Bond,1.21036,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,1.184794,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),1.265735,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),1.213206,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),1.164591,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),1.182322,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),1.141439,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,1.017917,Available,Industrial Alliance
FU504BRUT,Long Term Bond,1.66662,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),1.713591,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),0.558572,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.103902,Available,Industrial Alliance
FU240BRUT,Diversified Security,0.65283,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),1.153979,Available,Industrial Alliance
FU040BRUT,Diversified,0.285481,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),-0.740137,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,1.092448,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,0.345752,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),0.587896,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),1.290475,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,0.059046,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,-0.945391,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),-1.417395,Available,Industrial Alliance
FU160BRUT,Dividend,-0.371078,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),-1.582703,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),0.137162,Available,Industrial Alliance
FU359BRUT,Fundamental Canadian Equity (Beutel Goodman),-1.311682,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,-0.9596159999999999,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),-1.362266,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,-1.042445,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,-1.8436959999999998,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,-0.914676,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),-0.9854200000000001,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),0.393752,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),0.539317,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),0.744327,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),1.69135,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),-0.996113,Available,Industrial Alliance
FU270BRUT,Fidelity True North,-0.570758,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,0.735329,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),5.108464,Available,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),2.603271,Available,Industrial Alliance
FU707BRUT,Global Equity,2.08651,Available,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),0.350995,Available,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,0.633801,Available,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),-1.474897,Available,Industrial Alliance
