fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,0.298523,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,0.843588,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,1.289424,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,1.713958,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,2.119369,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),0.814109,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),1.020352,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),1.726167,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),2.089169,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),2.43599,Available,Industrial Alliance
FU070BRUT,Money Market,0.42754899999999996,Available,Industrial Alliance
FU170BRUT,Short Term Bond,-0.058247,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),-1.10458,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),-0.9612929999999998,Available,Industrial Alliance
FU020BRUT,Bond,-1.172928,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,-1.272236,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),-1.264975,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),-1.105214,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),-0.9069799999999999,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),-0.913535,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),-0.7907600000000001,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,-0.292669,Available,Industrial Alliance
FU504BRUT,Long Term Bond,-2.600158,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),-2.497356,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),0.992318,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.853926,Available,Industrial Alliance
FU240BRUT,Diversified Security,0.258913,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),1.143189,Available,Industrial Alliance
FU040BRUT,Diversified,1.196232,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),0.62794,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,0.514975,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,0.09142,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),0.603823,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),1.345389,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,1.691854,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,1.335127,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),2.576689,Available,Industrial Alliance
FU160BRUT,Dividend,1.113935,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),1.5625099999999998,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),-1.120639,Available,Industrial Alliance
FU358BRUT,Fundamental Canadian Equity (Beutel Goodman),4.803632,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,1.6047829999999998,Available,Industrial Alliance
FU633BRUT,Canadian Equity Value (PH&N),2.495252,Available,Industrial Alliance
FU871BRUT,Fidelity Canadian Focused Equity,2.684785,Available,Industrial Alliance
FU862BRUT,Fidelity Canadian Systematic Equity,1.6997890000000002,Available,Industrial Alliance
FU464BRUT,Canadian Equity Growth,2.362718,Available,Industrial Alliance
FU899BRUT,Canadian Equity Q Growth (CC&L),2.331616,Available,Industrial Alliance
FU593BRUT,Canadian Equity (Fiera Capital),-0.516308,Available,Industrial Alliance
FU384BRUT,Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),-0.298443,Available,Industrial Alliance
FU488BRUT,Canadian Equity (Jarislowsky),0.103682,Available,Industrial Alliance
FU385BRUT,Canadian Equity Fossil Fuel Free (Jarislowsky),0.310464,Available,Industrial Alliance
FU360BRUT,Canadian Equity (MFS),1.6903149999999998,Available,Industrial Alliance
FU270BRUT,Fidelity True North,1.585827,Available,Industrial Alliance
FU870BRUT,Canadian Equity Small Cap,5.968383,Available,Industrial Alliance
FU541BRUT,Canadian Equity Small Cap (QV),2.64206,Available,Industrial Alliance
FU876BRUT,Global Equity Index ACWI (BlackRock),3.094566,Available,Industrial Alliance
FU707BRUT,Global Equity,3.117958,Available,Industrial Alliance
FU886BRUT,Global Equity Low Volatility ACWI (TD),0.52875,Available,Industrial Alliance
FU351BRUT,Fidelity Global Low Volatility Equity,1.185174,Available,Industrial Alliance
FU754BRUT,Global Equity (Sprucegrove),2.649879,Available,Industrial Alliance
FU342BRUT,Global Equity (Burgundy),1.984873,Available,Industrial Alliance
FU358BRUT,Global Equity Opportunistic Value (Wellington),4.803632,Available,Industrial Alliance
FU945BRUT,Climate Strategy (Wellington),1.931731,Available,Industrial Alliance
FU386BRUT,Global Equity Fossil Fuel Free (Jarislowsky),1.433778,Available,Industrial Alliance
FU390BRUT,Global Research Equity (MFS),2.387855,Available,Industrial Alliance
FU133BRUT,Global Equity (Mawer),0.810407,Available,Industrial Alliance
FU456BRUT,Global Equity (Walter Scott),0.047131,Available,Industrial Alliance
FU595BRUT,Global Equity (Fiera Capital)**,1.625197,Available,Industrial Alliance
FU724BRUT,Global Equity (PH&N) ,2.964632,Available,Industrial Alliance
FU641BRUT,Global Equity Growth (T Rowe Price),3.49767,Available,Industrial Alliance
FU331BRUT,Global Equity (Baillie Gifford),2.895571,Available,Industrial Alliance
